day,laundering_yn_0,laundering_yn_1
1,13430941,1214
2,9863742,1215
3,9504438,1274
4,9267887,1220
5,9683145,1212
6,9135055,1146
7,8970855,1092
8,8530463,1108
9,8626558,1031
10,9155268,1130
11,8729317,1104
12,8520740,1116
13,8255896,1086
14,8514233,1139
15,11849141,1176
16,9497773,1155
17,9438212,1147
18,9096230,1207
19,9996474,1199
20,10088905,1137
21,9195400,1068
22,10458891,1172
23,9907546,1286
24,10055074,1124
25,9214665,1160
26,9835181,1122
27,12616836,1103
28,12437304,1125
29,11014350,985
30,14118619,1099
31,8552331,755
